,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
1372,Steven Adams,C,26,OKC,63,26.7,4.5,7.6,0.0,0.0,4.5,7.5,1.9,3.2,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,1,2020
1373,Bam Adebayo,PF,22,MIA,72,33.6,6.1,11.0,0.0,0.2,6.1,10.8,3.7,5.3,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,2,2020
1374,LaMarcus Aldridge,C,34,SAS,53,33.1,7.4,15.0,1.2,3.0,6.2,12.0,3.0,3.6,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,3,2020
1375,Kyle Alexander,C,23,MIA,2,6.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,4,2020
1376,Nickeil Alexander-Walker,SG,21,NOP,47,12.6,2.1,5.7,1.0,2.8,1.1,2.8,0.5,0.8,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,5,2020
1377,Grayson Allen,SG,24,MEM,38,18.9,3.1,6.6,1.5,3.7,1.6,2.9,1.0,1.2,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,6,2020
1378,Jarrett Allen,C,21,BRK,70,26.5,4.3,6.6,0.0,0.1,4.3,6.6,2.4,3.9,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,7,2020
1379,Kadeem Allen,PG,27,NYK,10,11.7,1.9,4.4,0.5,1.6,1.4,2.8,0.7,1.1,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,8,2020
1380,Al-Farouq Aminu,PF,29,ORL,18,21.1,1.4,4.8,0.5,2.0,0.9,2.8,1.1,1.6,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,9,2020
1381,Justin Anderson,SG,26,BRK,10,10.7,1.0,3.8,0.6,2.9,0.4,0.9,0.2,0.4,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,10,2020
1382,Kyle Anderson,SF,26,MEM,67,19.9,2.3,4.9,0.4,1.3,2.0,3.7,0.8,1.2,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,11,2020
1383,Ryan Anderson,C,31,HOU,2,7.0,1.0,3.5,0.5,2.5,0.5,1.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,12,2020
1384,Giannis Antetokounmpo,PF,25,MIL,63,30.4,10.9,19.7,1.4,4.7,9.5,15.0,6.3,10.0,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,13,2020
1385,Kostas Antetokounmpo,PF,22,LAL,5,4.0,0.6,0.6,0.0,0.0,0.6,0.6,0.2,0.4,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,14,2020
1386,Thanasis Antetokounmpo,SF,27,MIL,20,6.5,1.2,2.4,0.0,0.5,1.2,1.9,0.4,0.9,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,15,2020
1387,Carmelo Anthony,PF,35,POR,58,32.8,5.8,13.5,1.5,3.9,4.3,9.6,2.3,2.8,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,16,2020
1388,OG Anunoby,SF,22,TOR,69,29.9,4.1,8.2,1.3,3.3,2.9,4.9,1.0,1.5,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,17,2020
1389,Ryan Arcidiacono,PG,25,CHI,58,16.0,1.6,3.8,0.9,2.4,0.6,1.4,0.5,0.7,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,18,2020
1390,Trevor Ariza,SF,34,TOT,53,28.2,2.7,6.1,1.5,3.9,1.2,2.2,1.2,1.4,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,19,2020
1391,Trevor Ariza,SF,34,SAC,32,24.7,2.0,5.2,1.3,3.8,0.7,1.3,0.7,0.8,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0,19,2020
1392,Trevor Ariza,SF,34,POR,21,33.4,3.7,7.6,1.6,4.0,2.1,3.5,2.0,2.2,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0,19,2020
1393,D.J. Augustin,PG,32,ORL,57,24.9,3.2,8.1,1.2,3.5,2.0,4.6,2.8,3.2,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,20,2020
1394,Deandre Ayton,C,21,PHO,38,32.5,8.2,14.9,0.1,0.3,8.1,14.6,1.8,2.3,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,21,2020
1395,Dwayne Bacon,SG,24,CHO,39,17.6,2.2,6.3,0.5,1.7,1.7,4.5,0.9,1.4,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,22,2020
1396,Marvin Bagley III,C,20,SAC,13,25.7,6.0,12.8,0.3,1.7,5.7,11.2,1.9,2.4,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,23,2020
1397,Lonzo Ball,PG,22,NOP,63,32.1,4.4,10.9,2.3,6.3,2.0,4.6,0.7,1.2,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,24,2020
1398,Mo Bamba,C,21,ORL,62,14.2,2.1,4.6,0.6,1.7,1.5,2.9,0.5,0.7,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,25,2020
1399,J.J. Barea,PG,35,DAL,29,15.5,2.9,7.1,1.1,2.9,1.8,4.2,0.7,0.8,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,26,2020
1400,Harrison Barnes,PF,27,SAC,72,34.5,5.1,11.0,1.4,3.7,3.7,7.3,3.0,3.7,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,27,2020
